"","team_name","color","player_tag","core_goals","core_assists","core_saves","core_shots","core_score","demo_inflicted","demo_taken","advanced_rating"
"21921","LUMINOSITY GAMING","orange","AtomiK",2,4,7,18,1972,6,7,0.943586797805531
"21922","LUMINOSITY GAMING","orange","Tox",2,2,6,10,1536,6,3,0.692505310554098
"21923","THE BRICKS","blue","Growlii",2,2,8,9,1585,4,9,0.990758241160762
"21924","THE BRICKS","blue","Rxii",1,2,9,15,1593,7,2,0.856905704451847
"21925","THE BRICKS","blue","Speed",2,0,8,11,1339,2,4,0.736351337773344
"21926","SOLARY","orange","oaly.",1,4,5,16,1451,6,7,1.07476178844378
"21927","SOLARY","orange","ThO.",3,1,9,16,1878,2,5,1.00572339858768
"21928","SOLARY","orange","Mikeboy",3,1,8,8,1590,7,1,1.03190224517105
"21929","MISFITS GAMING","blue","Kash",3,2,11,16,2193,4,4,0.957164702292446
"21930","MISFITS GAMING","blue","Mittaen",4,2,6,19,1698,4,6,0.964180113865127
"21931","MISFITS GAMING","blue","arju",2,2,5,11,1355,3,9,0.640618676366213
"21932","GUILD ESPORTS","orange","Deevo",2,4,13,13,1972,5,3,1.05986022917295
"21933","GUILD ESPORTS","orange","Dorito",2,1,6,12,1430,9,6,0.587544359634019
"21934","GUILD ESPORTS","orange","crr",8,2,7,19,2339,5,2,1.41001495493318
"21935","AOGIRI","blue","Stizzy",2,7,10,11,1932,2,5,1.21695577120238
"21936","AOGIRI","blue","VKSailen",3,0,10,15,1816,8,4,0.71988734193595
"21937","AOGIRI","blue","Oscillon",5,3,2,23,1673,7,3,1.16924814035939
"21938","WYLDE","orange","accro",4,0,16,11,2329,3,4,1.03116181613011
"21939","WYLDE","orange","Crispy",1,2,11,12,1688,3,6,0.76017834582024
"21940","WYLDE","orange","simas",2,2,7,12,1471,6,7,0.791992493196162
"21941","WILLIAMS RESOLVE","blue","pryyme",1,2,3,7,962,1,3,0.774327891320422
"21942","WILLIAMS RESOLVE","blue","saizen",2,0,2,10,824,3,6,0.760270535643956
"21943","WILLIAMS RESOLVE","blue","Stake",1,2,10,9,1358,1,3,1.06958274980284
"21944","JUICERS","orange","parka",2,2,11,5,1425,3,1,1.37787844726784
"21945","JUICERS","orange","Forece",4,2,3,10,1157,4,2,1.3954832501526
"21946","JUICERS","orange","juicy",1,0,7,7,1167,5,2,0.629571070555848
"21947","NATUS VINCERE","blue","Tigreee",2,2,8,8,1575,4,6,0.801755161321021
"21948","NATUS VINCERE","blue","virtuoso",3,2,8,12,1493,6,8,0.997076636619208
"21949","NATUS VINCERE","blue","LuiisP",2,3,8,8,1552,6,5,1.03757688752573
"21950","TEAM LIQUID","orange","AcroniK.",2,1,7,9,1185,3,5,0.775217543856543
"21951","TEAM LIQUID","orange","Atow.",2,3,8,11,1754,9,5,1.07282460235417
"21952","TEAM LIQUID","orange","Oski",3,2,5,16,1422,7,6,1.05558619116834
"21953","E-GIRLS HUNTERS","blue","kuxir97",3,1,9,11,1792,4,4,0.792855843169836
"21954","E-GIRLS HUNTERS","blue","Davoof",1,0,18,14,2019,8,4,0.7242142116663
"21955","E-GIRLS HUNTERS","blue","Dead-Monster",0,1,8,17,1360,7,5,0.49768919800534
"21956","GROS NOOBZ","orange","Yukiss",3,3,12,18,2252,4,8,1.07420228050071
"21957","GROS NOOBZ","orange","Gekk",5,4,8,14,2184,5,7,1.16271799363109
"21958","GROS NOOBZ","orange","WhiiskyDrink",4,3,7,20,1893,4,4,1.0296850953422
"21959","SK GAMING","blue","fruity",4,3,4,13,1688,11,6,0.927565028555878
"21960","SK GAMING","blue","Kérian",3,3,14,15,2584,2,4,1.09052002930844
"21961","SK GAMING","blue","Ekon",4,2,10,19,2132,3,2,1.06429183262723
"21962","ODYSSEY ESPORTS","orange","Rexo",4,3,7,18,1906,2,5,1.15706889603997
"21963","ODYSSEY ESPORTS","orange","creamyy",0,2,14,15,2009,5,6,0.704758304658743
"21964","ODYSSEY ESPORTS","orange","ejby",4,3,9,17,2028,5,5,1.19281866728709
"21965","00 NATION","blue","hibbs",4,2,6,12,1538,4,1,1.1724214116714
"21966","00 NATION","blue","Breezi",1,4,8,10,1630,2,3,0.992616745274994
"21967","00 NATION","blue","FlamE",3,2,3,11,1239,6,3,0.925538772011384
"21968","GUILD ESPORTS","orange","crr",2,1,10,7,1553,3,6,0.863926463055394
"21969","GUILD ESPORTS","orange","Deevo",1,3,5,8,1159,2,5,0.780109502892668
"21970","GUILD ESPORTS","orange","Dorito",2,0,4,8,1032,2,1,0.628742883547552
"21971","THE BRICKS","blue","Growlii",7,1,11,17,2275,8,5,1.29766451447201
"21972","THE BRICKS","blue","Speed",2,4,9,13,1755,4,10,0.895684237811614
"21973","THE BRICKS","blue","Rxii",5,5,3,22,2007,4,8,1.29269759425615
"21974","AOGIRI","orange","Stizzy",7,5,10,17,2709,6,5,1.62689569182119
"21975","AOGIRI","orange","VKSailen",4,6,7,17,2088,9,5,1.42852005067908
"21976","AOGIRI","orange","Oscillon",3,1,7,9,1478,8,6,0.784392397599349
"21977","JUICERS","blue","juicy",2,2,8,10,1430,7,4,0.878048547154045
"21978","JUICERS","blue","Forece",3,1,2,7,1078,10,6,0.82577670678707
